"";"BirdId";"Area";"MS";"TA";"BH";"LogitH";"LogitB";"HT";"HT2";"YP";"SY";"CL";"LogitSurvWS";"U_perVolBlood";"Cort";"Cho_perVolBlood";"DS";"AgeN";"SexN";"Sex";"Age";"SeenF";"Seen";"Area_Model";"Area1";"nHT";"nHT2";"nBH";"nDS"
"330";"10784";"Schor Wilhelminapolder, Zeeland";541;94;5,400000095;-0,178499709001797;-5,73898872924715;0,202777778;0,0411188272506173;2;"2017_2018";"Oosterschelde";2,43187440190775;1,08442814807386;5,250209122;14,5945185175187;90;3;2;"M";"Adult";"1";1;"D";2;0,655150291078313;0,506898752847989;1,07150767496206;1,00702872822001
"331";"10809";"Schor Wilhelminapolder, Zeeland";516;97;2,5;-0,174092689750825;-5,72711915601342;0,203472222;0,0414009451256173;2;"2017_2018";"Oosterschelde";2,43187440190775;0,860843765606103;5,20187245;14,254832247671;90;3;1;"F";"Adult";"1";1;"D";2;0,665311334111924;0,519328535323892;-1,79601118208726;1,00702872822001
"332";"10769";"Schor Wilhelminapolder, Zeeland";506;97;5,099999905;NA;NA;0,204861111;0,0419680748001543;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;7,467325664;NA;90;3;2;"M";"Adult";"1";1;"D";2;0,685633434811056;0,544315603194458;0,774867615043927;1,00702872822001
"333";"10795";"Schor Wilhelminapolder, Zeeland";485;95;4,599999905;-0,164689226100653;-5,52039368285361;0,20625;0,0425390625;2;"2017_2018";"Oosterschelde";2,43187440190775;0,923493069357074;5,894889565;10,6127227728535;90;3;2;"M";"Adult";"0";0;"D";2;0,705955535510188;0,569472651132302;0,280467828300246;1,00702872822001
"334";"10796";"Schor Wilhelminapolder, Zeeland";510;101;3,400000095;-0,301809451601626;-5,5837854518339;0,207638889;0,0431139082251543;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;8,390728754;NA;90;3;1;"F";"Adult";"1";1;"D";2;0,72627763620932;0,594799679137425;-0,90609147201267;1,00702872822001
"336";"10798";"Schor Wilhelminapolder, Zeeland";514;98;3;NA;NA;0,211111111;0,0445679011876543;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;10,23174248;NA;90;3;1;"F";"Adult";"0";0;"D";2;0,777082880641194;0,658860902643267;-1,30161139534357;1,00702872822001
"337";"10799";"Schor Wilhelminapolder, Zeeland";533;98;4,599999905;-0,110665568068978;-5,3426000331031;0,213194444;0,0454518709524691;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;9,758167054;14,1524532106611;90;3;2;"M";"Adult";"1";1;"D";2;0,807566024373937;0,697807573044507;0,280467828300246;1,00702872822001
"383";"10479";"Prunjepolder, Oosterschelde";563;96;5,5;-0,269228500630312;-4,78451111464103;0,060416667;0,00365017365138889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;36,56001817;NA;79;3;2;"M";"Adult";"1";1;"D";1;-1,42786486231574;-1,14392615111584;1,17038753837483;-0,988380048067788
"384";"10478";"Prunjepolder, Oosterschelde";541;101;3,799999952;NA;NA;0,064583333;0,00417100690138889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;16,66661559;NA;79;3;2;"M";"Adult";"1";1;"D";1;-1,36689857485025;-1,12097884937639;-0,510571784016064;-0,988380048067788
"386";"10476";"Prunjepolder, Oosterschelde";517;98;5,5;-0,220449342388914;-4,78691686539681;0,073611111;0,00541859566265432;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;23,65708731;NA;79;3;2;"M";"Adult";"0";0;"D";1;-1,23480492762185;-1,06601155273873;1,17038753837483;-0,988380048067788
